userID	endDate	COALESCE(feature82,0)	COALESCE(feature98,0)
14500	2012-12-13	17	1
14500	2012-12-14	8	1
14500	2012-12-18	8	1
14500	2012-12-19	6	1
14500	2012-12-20	3	1
14600	2012-12-04	11	1
14600	2012-12-05	20	1
14600	2012-12-06	55	1
14600	2012-12-07	40	1
14600	2012-12-11	10	1
14600	2012-12-12	14	1
14600	2012-12-13	45	1
14600	2012-12-14	10	1
14600	2012-12-17	16	1
14600	2012-12-18	34	1
14600	2012-12-19	21	1
14600	2012-12-20	8	1
14600	2012-12-21	3	1
14600	2012-12-30	45	1
15000	2012-12-03	5	1
15000	2012-12-04	90	1
15000	2012-12-05	75	1
15000	2012-12-06	51	1
15000	2012-12-07	6	1
15000	2012-12-10	51	1
15000	2012-12-11	35	1
15000	2012-12-12	90	1
15000	2012-12-13	114	1
15000	2012-12-14	285	1
15000	2012-12-17	81	1
15000	2012-12-18	76	1
15000	2012-12-19	57	1
15000	2012-12-20	38	1
15200	2012-12-03	2	1
15200	2012-12-07	4	1
15200	2012-12-10	1	1
15200	2012-12-13	17	1
15200	2012-12-17	66	1
15200	2012-12-18	30	1
15400	2012-12-01	33	1
15400	2012-12-04	70	1
15400	2012-12-05	27	1
15400	2012-12-06	8	1
15400	2012-12-07	8	1
15400	2012-12-10	59	1
15400	2012-12-11	37	1
15400	2012-12-12	14	1
15400	2012-12-13	25	1
15400	2012-12-14	79	1
15400	2012-12-17	44	1
15400	2012-12-18	14	1
15400	2012-12-19	17	1
15400	2012-12-20	82	1
15400	2012-12-21	41	1
15500	2012-12-04	21	1
15500	2012-12-05	4	1
15500	2012-12-06	10	1
15700	2012-12-01	7	1
15700	2012-12-04	10	1
15700	2012-12-05	28	1
15700	2012-12-07	22	1
15700	2012-12-10	40	1
15700	2012-12-11	42	1
15700	2012-12-12	10	1
15700	2012-12-13	52	1
15700	2012-12-14	62	1
15700	2012-12-17	11	1
15700	2012-12-18	8	1
15700	2012-12-19	11	1
15700	2012-12-20	3	1
15700	2012-12-21	14	1
15800	2012-12-04	4	1
15800	2012-12-06	13	1
15800	2012-12-10	10	1
15800	2012-12-11	38	1
15800	2012-12-12	8	1
15800	2012-12-13	28	1
15800	2012-12-17	40	1
15800	2012-12-18	4	1
15900	2012-12-12	3	1
16100	2012-12-04	36	1
16100	2012-12-05	636	1
16100	2012-12-06	319	1
16100	2012-12-07	35	1
16100	2012-12-09	12	1
16100	2012-12-10	112	1
16100	2012-12-11	251	1
16100	2012-12-12	449	1
16100	2012-12-13	148	1
16100	2012-12-14	137	1
16100	2012-12-15	6	1
16100	2012-12-18	43	1
16100	2012-12-19	36	1
16100	2012-12-20	86	1
16100	2012-12-24	11	1
16200	2012-12-05	28	1
16200	2012-12-11	3	1
16200	2012-12-12	19	1
16500	2012-12-04	20	1
16500	2012-12-10	11	1
16500	2012-12-19	7	1
16600	2012-12-06	3	1
16900	2012-12-04	2	1
16900	2012-12-10	6	1
16900	2012-12-13	16	1
16900	2012-12-14	21	1
17200	2012-12-10	47	2
17200	2012-12-11	31	1
17200	2012-12-12	20	1
17200	2012-12-17	1	1
17200	2012-12-20	13	1
17200	2012-12-21	12	1
17400	2012-12-05	2	1
17500	2012-12-13	3	1
17600	2012-12-21	4	1
17600	2012-12-23	2	1
17700	2012-12-18	2	1
18100	2012-12-04	16	1
18100	2012-12-05	32	1
18100	2012-12-06	33	1
18100	2012-12-07	7	1
18100	2012-12-10	3	1
18100	2012-12-11	12	1
18100	2012-12-12	10	1
18100	2012-12-13	8	1
18200	2012-12-10	1	1
18200	2012-12-21	2	1
18300	2012-12-05	10	1
18300	2012-12-06	70	1
18300	2012-12-07	231	1
18300	2012-12-10	17	1
18300	2012-12-11	5	1
18300	2012-12-12	5	1
18300	2012-12-13	11	1
18300	2012-12-14	1	1
18300	2012-12-17	11	1
18300	2012-12-18	7	1
18300	2012-12-19	1	1
18300	2012-12-29	1	1
18400	2012-12-04	21	1
18400	2012-12-12	41	1
18400	2012-12-13	10	1
18400	2012-12-19	15	1
18400	2012-12-20	61	1
18400	2012-12-21	37	1
18700	2012-12-19	1	1
19000	2012-12-04	1	1
19000	2012-12-05	2	1
19000	2012-12-06	3	1
19000	2012-12-10	6	1
19000	2012-12-11	2	1
19000	2012-12-12	5	1
19000	2012-12-19	1	1
19000	2012-12-20	12	1
19200	2012-12-05	5	1
19200	2012-12-06	15	1
19200	2012-12-10	2	1
19200	2012-12-11	7	1
